023967|german|german|german/achtgesichterambiwasse/achtgesichterambiwasse_1011.wav|spectrograms/023967.npy|linear_spectrograms/023967.npy|Weißt du, wo die Harfe liegt, die ich suche? Natürlich, antwortete ebenso rasch die Frau.|vaɪst duː, voː diː haɾfə liːkt, diː ɪç zuːxə? nɑːtyːɾlɪç , antvɔɾtətə eːbənzoː raʃ diː fraʊ.
024617|german|german|german/achtgesichterambiwasse/achtgesichterambiwasse_1661.wav|spectrograms/024617.npy|linear_spectrograms/024617.npy|Er hat Euern roten Schweif und Eure roten Augen angenommen, die der König in die Meerestiefe schickte.|ɛɾ hat ɔøɜn roːtən ʃvaɪf ʊnt ɔørə roːtən aʊɡən anɡənɔmən, diː dɛɾ køːnɪç ɪn diː meːrɛstiːfə ʃɪktə.
026509|german|german|german/meisterfloh/meisterfloh_0926.wav|spectrograms/026509.npy|linear_spectrograms/026509.npy|das ein müßiges Gehirn ausgebrütet. Laßt Euch aber dadurch nicht irremachen, sondern traut meinen Worten. Seht,|das aɪn myːsɪɡəs ɡəhɪɾn aʊsɡəbɾyːtət. last ɔøç ɑːbɜ dɑːd??ç nɪçt ɪreːmaxən, zɔndɜn tɾaʊt maɪnən vɔɾtən.  zeːt,
027110|german|german|german/meisterfloh/meisterfloh_1527.wav|spectrograms/027110.npy|linear_spectrograms/027110.npy|und die Sache hier unten litt keinen Aufschub. Welche Sache?|ʊnt diː zaxə hiːɾ ʊntən lɪt kaɪnən aʊfʃuːp. vɛlçə zaxə?
025243|german|german|german/achtgesichterambiwasse/achtgesichterambiwasse_2287.wav|spectrograms/025243.npy|linear_spectrograms/025243.npy|Ich bin ich geblieben und bin nur durch dich mehr geworden.|ɪç bɪn ɪç ɡəbliːbən ʊnt bɪn nuːɾ d??ç dɪç meːɾ ɡəvɔɾdən.
023722|german|german|german/achtgesichterambiwasse/achtgesichterambiwasse_0766.wav|spectrograms/023722.npy|linear_spectrograms/023722.npy|Nimm die Wandersandalen vom Nagel! Wir müssen eine Reise machen. Der Kriegsgott hat es mir heute nacht befohlen.|nɪm diː vandɜzandɑːlən fɔm nɑɡəl! viːɾ mysən aɪnə raɪzə maxən. dɛɾ kɾiːksɡɔt hat ɛs miːɾ hɔøtə naxt bəfoːlən.
029997|german|german|german/serapionsbruederauswahl/serapionsbruederauswahl_1332.wav|spectrograms/029997.npy|linear_spectrograms/029997.npy|Aber in dem Augenblick sinkt Adelgunde todähnlich zu Boden.|ɑːbɜ ɪn deːm aʊɡənblɪk zɪŋkt ɑdəlɡʊndə toːdɛːnlɪç tsuː boːdən.
024844|german|german|german/achtgesichterambiwasse/achtgesichterambiwasse_1888.wav|spectrograms/024844.npy|linear_spectrograms/024844.npy|so sehr stank die Luft nach Alkohol.|zoː zeːɾ ʃtaŋk diː lʊft nɑːx alkoːoːl.
024976|german|german|german/achtgesichterambiwasse/achtgesichterambiwasse_2020.wav|spectrograms/024976.npy|linear_spectrograms/024976.npy|Bei dem zweiten Blitz aber erschrak sie. Es war nicht mehr das Gesicht ihres Sohnes.|baɪ deːm tsvaɪtən blɪts ɑːbɜ ɛɾʃrɑːk ziː. ɛs vɑːɾ nɪçt meːɾ das ɡəzɪçt iːrəs zoːnəs.
026748|german|german|german/meisterfloh/meisterfloh_1165.wav|spectrograms/026748.npy|linear_spectrograms/026748.npy|was er längst hätte wissen sollen, nämlich daß mit dem störrigsten Menschen etwas anzufangen ist, nur nicht mit einem Verliebten.|vas ɛɾ lɛŋst hɛtə vɪsən zɔlən, nɛːmlɪç das mɪt deːm ʃtœrɪçstən mɛnʃən ɛtvɑːs antsuːfaŋən ɪst, nuːɾ nɪçt mɪt aɪnəm fɛɾliːptən.
027902|german|german|german/meisterfloh/meisterfloh_2319.wav|spectrograms/027902.npy|linear_spectrograms/027902.npy|Darf ich ihm denn gestehen, daß ich es selbst nicht weiß, daß alle meine Kunst daran scheitert, den Knoten zu lösen,|daɾf ɪç iːm dɛn ɡəʃteːən, das ɪç ɛs zɛlpst nɪçt vaɪs, das alə maɪnə kʊnst dɑːran ʃaɪtɜt, deːn knoːtən tsuː løːzən,
024129|german|german|german/achtgesichterambiwasse/achtgesichterambiwasse_1173.wav|spectrograms/024129.npy|linear_spectrograms/024129.npy|Aber die Leute auf der Straße sahen plötzlich den russischen Prinzen im heftigsten Handgemenge mit Omiya;|ɑːbɜ diː lɔøtə aʊf dɛɾ ʃtɾɑːsə zɑːən plœtslɪç deːn rʊsɪʃən pɾɪntsən ɪm hɛftɪçstən hantɡəmɛŋə mɪt oːmiːjɑː;
024999|german|german|german/achtgesichterambiwasse/achtgesichterambiwasse_2043.wav|spectrograms/024999.npy|linear_spectrograms/024999.npy|Sie wurde nur am Abend erlöst von dem fantastischen Abendrot, das sich über Seta in den wunderbarsten Blutlinienwellen hinzieht,|ziː v??də nuːɾ am ɑːbənt ɛɾlœst fɔn deːm fantastɪʃən ɑːbəndɾoːt, das zɪç yːbɜ zeːtɑː ɪn deːn vʊndɜbɑːɾstən blʊtliːniːnvɛlən hɪntsiːt,
028180|german|german|german/meisterfloh/meisterfloh_2597.wav|spectrograms/028180.npy|linear_spectrograms/028180.npy|von Euch meine Rettung zu verlangen. Geht hin, seht sie, nehmt ihre Hand, überliefert mich der Sklaverei,|fɔn ɔøç maɪnə rɛtʊŋ tsuː fɛɾlaŋən.  ɡeːt hɪn, zeːt ziː, neːmt iːrə hant, yːbɜliːfɜt mɪç dɛɾ sklɑveːraɪ,
