062735|spanish|spanish|spanish/batalla_arapiles/batalla_arapiles_3040.wav|spectrograms/062735.npy|linear_spectrograms/062735.npy|Poco a poco fui perdiéndole el miedo: me causaba cierto respeto; pero amarle. ¡eso imposible!|poko a poko fwi peɾðjendole el mjeðo: me kaʊsaβa θjeɾto ɾɾespeto; peɾo amaɾle... ¡eso imposiβle!...
057710|spanish|spanish|spanish/bailen/bailen_1255.wav|spectrograms/057710.npy|linear_spectrograms/057710.npy|previendo las delicias de un sorbo de agua, y anhelando apagar aquellas ascuas pegajosas que revolvía en mi boca.|pɾeβjɛndo las deliθjas de un soɾβo de aɣwa, i anelando apaɣaɾ akeʎas askwas peɣaxosas ke ɾɾeβolβia en mi boka.
057920|spanish|spanish|spanish/bailen/bailen_1465.wav|spectrograms/057920.npy|linear_spectrograms/057920.npy|no tenían quien formara a su alrededor concierto de llantos y exclamaciones.|no tenian kjen foɾmaɾa a su alreðeðoɾ konθjeɾto de ʎantos i eksklamaθjones...
062940|spanish|spanish|spanish/batalla_arapiles/batalla_arapiles_3245.wav|spectrograms/062940.npy|linear_spectrograms/062940.npy|Allí reforzó Marmont su ejército con la división de Bonnet, y nosotros le aguardamos en la orilla izquierda vigilando sus movimientos.|aʎi ɾɾefoɾθo maɾmont su exeɾθito kon la diβisjon de bonnet, i nosotɾos le aɣwaɾðamos en la oɾiʎa iθkjeɾða bixilando sus moβimjɛntos.
055593|spanish|spanish|spanish/19demarzo/19demarzo_2411.wav|spectrograms/055593.npy|linear_spectrograms/055593.npy|Adiós, Gabriel. Estoy contenta. Ambos besamos la barrera que nos separaba, y el diálogo acabó,| -aðjos, ɡaβɾiel. estoɪ kontɛnta. ambos besamos la baɾɾeɾa ke nos sepaɾaβa, i el djaloɣo akaβo,
064237|spanish|spanish|spanish/batalla_arapiles/batalla_arapiles_4542.wav|spectrograms/064237.npy|linear_spectrograms/064237.npy|he sido soberbio como Satán, y me he burlado del paraíso a que no podía llegar;|e siðo soβeɾβjo komo satan, i me e buɾlaðo del paɾaiso a ke no poðia ʎeɣaɾ;
058640|spanish|spanish|spanish/bailen/bailen_2185.wav|spectrograms/058640.npy|linear_spectrograms/058640.npy|convirtieron en lupanar la iglesia de Fuensanta, y por tres días Córdoba no fue una ciudad,|kombiɾtjeɾon en lupanaɾ la iɣlesja de fwensanta, i poɾ tɾes dias koɾðoβa no fwe una θjuðad,
056301|spanish|spanish|spanish/19demarzo/19demarzo_3119.wav|spectrograms/056301.npy|linear_spectrograms/056301.npy|golpean un tabique, acudimos: se abre un agujero y apareces tú. ¿Pero llegaremos al fin?|ɡolpean un taβike, akuðimos: se aβɾe un aɣuxeɾo i apaɾeθes tu... ¿peɾo ʎeɣaɾemos al fin?
059486|spanish|spanish|spanish/bailen/bailen_3031.wav|spectrograms/059486.npy|linear_spectrograms/059486.npy|Al verme vivo y sin ti, pensé que Dios me había devuelto la vida para castigarme;|al beɾme biβo i sin ti, pense ke djos me aβia deβwelto la biða paɾa kastiɣaɾme;
060816|spanish|spanish|spanish/batalla_arapiles/batalla_arapiles_1121.wav|spectrograms/060816.npy|linear_spectrograms/060816.npy|y el alma de la expedición, o sea el dinero que puse en la bolsa interna del cinto. Ya está mi Señora Araceli en campaña -me dije-.|i el alma de la ekspeðiθjon, o sea el dineɾo ke puse en la bolsa inteɾna del θinto. -ʝa esta mi seɲoɾa aɾaθeli en kampaɲa -me dixe.
056295|spanish|spanish|spanish/19demarzo/19demarzo_3113.wav|spectrograms/056295.npy|linear_spectrograms/056295.npy|Por fin, ya muy avanzado el día, llega Don Mauro y abre el sótano para sacarte. Salimos Restituta y yo; ella está medio muerta.|poɾ fin, ʝa mujj aβanθaðo el dia, ʎeɣa don maʊɾo i aβɾe el sotano paɾa sakaɾte... salimos ɾɾestituta i ʝo; eʎa esta meðjo mweɾta.
063947|spanish|spanish|spanish/batalla_arapiles/batalla_arapiles_4252.wav|spectrograms/063947.npy|linear_spectrograms/063947.npy|Miles de ojos sin brillo y sin luz, como los ojos de las estatuas de mármol, miraban al cielo sin verlo.|miles de oxos sin bɾiʎo i sin luθ, komo los oxos de las estatwas de maɾmol, miɾaβan al θjelo sin beɾlo.
055226|spanish|spanish|spanish/19demarzo/19demarzo_2044.wav|spectrograms/055226.npy|linear_spectrograms/055226.npy|las uñas y los dientes,|las uɲas i los djɛntes,
062287|spanish|spanish|spanish/batalla_arapiles/batalla_arapiles_2592.wav|spectrograms/062287.npy|linear_spectrograms/062287.npy|Yo tenía entendido que miss Fly podía ir y venir y partir y tornar cuando mejor le conviniese.|ʝo tenia entendiðo ke miss efeeleiɣɾieɣa poðia iɾ i beniɾ i paɾtiɾ i toɾnaɾ kwando mexoɾ le kombinjese.
062782|spanish|spanish|spanish/batalla_arapiles/batalla_arapiles_3087.wav|spectrograms/062782.npy|linear_spectrograms/062782.npy|y ¿qué creerás, amigo mío? Pues rompió la carta, diciéndome:|i ¿ke kɾeeɾas, amiɣo mio?... pwes ɾɾompjo la kaɾta, diθjendome:
055787|spanish|spanish|spanish/19demarzo/19demarzo_2605.wav|spectrograms/055787.npy|linear_spectrograms/055787.npy|Dice que el señor príncipe de la Paz, temiendo que Napoleón viene a destronar a nuestros queridos reyes,|diθe ke el seɲoɾ pɾinθipe de la paθ, temjɛndo ke napoleon bjene a destɾonaɾ a nwestɾos keɾiðos ɾɾejjes,
057286|spanish|spanish|spanish/bailen/bailen_0831.wav|spectrograms/057286.npy|linear_spectrograms/057286.npy|punto donde se creía próximo un reñido combate.|punto donde se kɾeia pɾoksimo un ɾɾeɲiðo kombate.
057116|spanish|spanish|spanish/bailen/bailen_0661.wav|spectrograms/057116.npy|linear_spectrograms/057116.npy|Casi parecía que iban a abandonar su posición al enemigo; pero bien pronto se repusieron tomando la ofensivaal amparo de dos bocas de fuego y de la caballería de España,|kasi paɾeθia ke iβan a aβandonaɾ su posiθjon al enemiɣo; peɾo bjen pɾonto se ɾɾepusjeɾon tomando la ofensiβaal ampaɾo de dos bokas de fweɣo i de la kaβaʎeɾia de espaɲa,
062280|spanish|spanish|spanish/batalla_arapiles/batalla_arapiles_2585.wav|spectrograms/062280.npy|linear_spectrograms/062280.npy|de que eran signos principales una nariz picuda y unos espejuelos de oro.|de ke eɾan siɡnos pɾinθipales una naɾiθ pikuða i unos espexwelos de oɾo.
060097|spanish|spanish|spanish/batalla_arapiles/batalla_arapiles_0402.wav|spectrograms/060097.npy|linear_spectrograms/060097.npy|Yo creí que Juan de Dios se conmovería al oír esto; pero con gran sorpresa vi su rostro resplandeciente de serenidad y beatituDon|ʝo kɾei ke xwan de djos se konmoβeɾia al oiɾ esto; peɾo kon ɡɾan soɾpɾesa bi su ɾɾostɾo ɾɾesplandeθjɛnte de seɾeniðad i beatitu ðon
053443|spanish|spanish|spanish/19demarzo/19demarzo_0261.wav|spectrograms/053443.npy|linear_spectrograms/053443.npy|Ahora va a ser ella: no intercedas por él. estoy decidido. ahora sí que es preciso ser enérgico.|aoɾa ba a ser eʎa: no inteɾθeðas poɾ el... estoɪ deθiðiðo... aoɾa si ke es pɾeθiso ser eneɾxiko.
061516|spanish|spanish|spanish/batalla_arapiles/batalla_arapiles_1821.wav|spectrograms/061516.npy|linear_spectrograms/061516.npy|dijo Santorcaz con acento dulce y cariñoso, que me causó gran sorpresa. Estaba leyendo aquel libro. aquel libro. ya sabes|dixo santoɾkaθ kon aθɛnto dulθe i kaɾiɲoso, ke me kaʊso ɡɾan soɾpɾesa. -estaβa lejjɛndo akel liβɾo... akel liβɾo... ʝa saβes
053281|spanish|spanish|spanish/19demarzo/19demarzo_0099.wav|spectrograms/053281.npy|linear_spectrograms/053281.npy|don Celestino y yo hablábamos de esto, cuando Lopito entró a buscarme. Esta noche -me dijo al bajar la escalera- tendremos fiesta.|don θelestino i ʝo aβlaβamos de esto, kwando lopito entɾo a buskaɾme. -esta notʃe -me dixo al baxaɾ la eskaleɾa tendɾemos fjesta.
061814|spanish|spanish|spanish/batalla_arapiles/batalla_arapiles_2119.wav|spectrograms/061814.npy|linear_spectrograms/061814.npy|No queremos a nuestro lado gente soez. Iremos enteramente solos. Dentro de un momento tendréis las armas -afirmó Jean-Jean-.|no keɾemos a nwestɾo laðo xɛnte soeθ. iɾemos enteɾamente solos. -dɛntɾo de un momɛnto tendɾeis las aɾmas -afiɾmo xean xean.
054761|spanish|spanish|spanish/19demarzo/19demarzo_1579.wav|spectrograms/054761.npy|linear_spectrograms/054761.npy|su paso era marcha y baile y carrera a un mismo tiempo,|su paso eɾa maɾtʃa i baɪle i kaɾɾeɾa a un mismo tjempo,
054675|spanish|spanish|spanish/19demarzo/19demarzo_1493.wav|spectrograms/054675.npy|linear_spectrograms/054675.npy|yo no sirvo ya para nada. Ánimo, Chinitas -dije devolviéndole el fusil que caía de sus manos-, levántate. ¿Levantarme?|ʝo no siɾβo ʝa paɾa naða. -animo, tʃinitas -dixe deβolβjendole el fusil ke kaia de sus manos, leβantate. -¿leβantaɾme?
057723|spanish|spanish|spanish/bailen/bailen_1268.wav|spectrograms/057723.npy|linear_spectrograms/057723.npy|Ya se podía pensar en beber. ¿Pero dónde?|ʝa se poðia pensaɾ en beβeɾ. ¿peɾo donde?
055588|spanish|spanish|spanish/19demarzo/19demarzo_2406.wav|spectrograms/055588.npy|linear_spectrograms/055588.npy|Hice mucho ruido, y di mil besos a la puerta. Toca con tus dedos en la puerta para que yo te sienta.|iθe mutʃo ɾɾuiðo, i di mil besos a la pweɾta. -toka kon tus deðos en la pweɾta paɾa ke ʝo te sjɛnta.
